,ts,latitude,longitude,satellites
322,89.02,39.38734436035156,-8.278949737548828,12
323,89.22,39.387351989746094,-8.278950691223145,12
324,89.42,39.38736343383789,-8.278951644897461,12
325,89.62,39.38737106323242,-8.278953552246094,12
326,89.82,39.38738250732422,-8.278955459594727,12
327,90.02,39.387393951416016,-8.278956413269043,12
328,90.22,39.387393951416016,-8.278956413269043,12
329,90.32,39.38740158081055,-8.27895736694336,12
330,90.42,39.387413024902344,-8.278958320617676,12
331,90.82,39.38743209838867,-8.278960227966309,12
332,91.02,39.38744354248047,-8.278963088989258,12
333,91.22,39.387454986572266,-8.278965950012207,12
334,91.42,39.38746643066406,-8.27896785736084,12
335,91.62,39.38746643066406,-8.27896785736084,12
336,91.82,39.387489318847656,-8.278973579406738,12
337,92.02,39.38750076293945,-8.278977394104004,12
338,92.22,39.38751220703125,-8.27898120880127,12
339,92.42,39.38752365112305,-8.278984069824219,12
340,92.62,39.387535095214844,-8.2789888381958,12
341,92.82,39.38754653930664,-8.278993606567383,12
342,93.02,39.38755798339844,-8.278998374938965,12
343,93.22,39.38756561279297,-8.279003143310547,12
344,93.42,39.387577056884766,-8.279007911682129,12
345,93.62,39.387577056884766,-8.279007911682129,12
346,93.82,39.38759994506836,-8.279016494750977,12
347,94.02,39.38760757446289,-8.279022216796875,12
348,94.22,39.38761901855469,-8.279026985168457,12
349,94.42,39.38762664794922,-8.279032707214355,12
350,94.82,39.38764572143555,-8.279043197631836,12
351,95.02,39.387657165527344,-8.279048919677734,12
352,95.22,39.387664794921875,-8.279053688049316,12
353,95.42,39.387672424316406,-8.279058456420898,12
354,95.62,39.387672424316406,-8.279058456420898,12
355,95.82,39.38768768310547,-8.279067039489746,12
356,96.02,39.3876953125,-8.279070854187012,12
357,96.22,39.38770294189453,-8.279074668884277,12
358,96.42,39.38771057128906,-8.279077529907227,12
359,96.82,39.38772964477539,-8.279084205627441,12
360,97.02,39.38773727416992,-8.279088020324707,12
361,97.22,39.38774871826172,-8.279090881347656,12
362,97.42,39.387760162353516,-8.279094696044922,12
363,97.62,39.387760162353516,-8.279094696044922,12
364,97.82,39.387779235839844,-8.279104232788086,12
365,98.02,39.38779067993164,-8.279109001159668,12
366,98.22,39.38780212402344,-8.279114723205566,12
367,98.42,39.387813568115234,-8.279120445251465,12
368,98.82,39.38783264160156,-8.279131889343262,12
369,99.02,39.38784408569336,-8.279136657714844,12
370,99.22,39.387855529785156,-8.279141426086426,12
371,99.42,39.38786697387695,-8.279146194458008,12
372,99.62,39.38786697387695,-8.279146194458008,12
373,99.82,39.38788986206055,-8.279155731201172,12
374,100.12,39.38789749145508,-8.27916145324707,12
375,100.22,39.38789749145508,-8.27916145324707,12
376,100.32,39.387908935546875,-8.279167175292969,12
377,100.42,39.38792037963867,-8.279173851013184,12
378,100.82,39.387939453125,-8.279187202453613,12
379,101.02,39.3879508972168,-8.279193878173828,12
380,101.22,39.38795852661133,-8.279200553894043,12
381,101.42,39.387969970703125,-8.279208183288574,12
382,101.62,39.387969970703125,-8.279208183288574,12
383,101.82,39.38798904418945,-8.27922248840332,12
384,102.02,39.387996673583984,-8.279231071472168,12
385,102.22,39.38800811767578,-8.2792387008667,12
386,102.42,39.38801574707031,-8.27924633026123,12
387,102.62,39.38801574707031,-8.27924633026123,12
388,102.82,39.38803482055664,-8.279261589050293,12
389,103.02,39.38804244995117,-8.279269218444824,12
390,103.22,39.3880500793457,-8.279276847839355,12
391,103.42,39.388057708740234,-8.27928352355957,12
392,103.62,39.388057708740234,-8.27928352355957,12
393,103.82,39.3880729675293,-8.279296875,12
394,104.02,39.38808059692383,-8.279302597045898,12
395,104.22,39.38808822631836,-8.279309272766113,12
396,104.42,39.38809585571289,-8.279314994812012,12
397,104.82,39.38811111450195,-8.279325485229492,12
398,105.02,39.388118743896484,-8.27933120727539,12
399,105.22,39.388126373291016,-8.279336929321289,12
400,105.42,39.38813400268555,-8.279343605041504,12
401,105.62,39.38813400268555,-8.279343605041504,12
402,105.82,39.38814926147461,-8.2793550491333,12
403,106.02,39.38815689086914,-8.2793607711792,12
404,106.22,39.38816833496094,-8.279366493225098,12
405,106.42,39.38817596435547,-8.279372215270996,12
406,106.82,39.3881950378418,-8.27938461303711,12
407,107.02,39.38820266723633,-8.279391288757324,12
408,107.22,39.388214111328125,-8.279397964477539,12
409,107.42,39.38822555541992,-8.279404640197754,12
410,107.62,39.38823699951172,-8.279411315917969,12
411,107.82,39.38824462890625,-8.2794189453125,12
412,108.02,39.38825607299805,-8.279426574707031,12
413,108.22,39.388267517089844,-8.279434204101562,12
414,108.42,39.38827896118164,-8.27944278717041,12
415,108.82,39.388301849365234,-8.279461860656738,12
416,109.02,39.38831329345703,-8.279472351074219,12
417,109.22,39.38832473754883,-8.2794828414917,12
418,109.42,39.388336181640625,-8.279492378234863,12
419,110.02,39.38836669921875,-8.279532432556152,12
420,110.22,39.38837814331055,-8.279547691345215,12
421,110.42,39.388389587402344,-8.279566764831543,12
422,110.82,39.38841247558594,-8.279597282409668,12
423,111.02,39.388427734375,-8.279611587524414,12
424,111.22,39.38844299316406,-8.279622077941895,12
425,111.42,39.38845443725586,-8.279634475708008,12
426,111.62,39.38845443725586,-8.279634475708008,12
427,111.82,39.388484954833984,-8.279658317565918,12
428,112.02,39.38850021362305,-8.279669761657715,12
429,112.22,39.38851547241211,-8.279679298400879,12
430,112.42,39.38853073120117,-8.279688835144043,12
431,112.82,39.3885612487793,-8.27971076965332,12
432,113.02,39.38857650756836,-8.279722213745117,12
433,113.22,39.38859176635742,-8.279733657836914,12
434,113.42,39.388607025146484,-8.279746055603027,12
435,113.62,39.388607025146484,-8.279746055603027,12
436,113.82,39.388641357421875,-8.279776573181152,12
437,114.02,39.3886604309082,-8.279792785644531,12
438,114.22,39.388675689697266,-8.279807090759277,12
439,114.42,39.38869094848633,-8.279821395874023,12
440,114.62,39.388702392578125,-8.27983570098877,12
441,114.82,39.38871383666992,-8.279851913452148,12
442,115.02,39.38872528076172,-8.27987003326416,12
443,115.22,39.388736724853516,-8.279887199401855,12
444,115.42,39.38874816894531,-8.27990436553955,12
445,115.62,39.38875961303711,-8.279918670654297,12
446,115.82,39.388771057128906,-8.279930114746094,12
447,116.02,39.38877868652344,-8.279940605163574,12
448,116.22,39.38878631591797,-8.279950141906738,12
449,116.42,39.3887939453125,-8.279959678649902,12
450,116.82,39.3888053894043,-8.279976844787598,12
451,117.02,39.388816833496094,-8.279983520507812,12
452,117.22,39.388824462890625,-8.279990196228027,12
453,117.42,39.38883590698242,-8.27999496459961,12
454,117.62,39.38883590698242,-8.27999496459961,12
455,117.82,39.38885498046875,-8.28000259399414,12
456,118.02,39.38886642456055,-8.280006408691406,12
457,118.22,39.38887405395508,-8.280009269714355,12
458,118.42,39.388885498046875,-8.280012130737305,12
459,118.82,39.3889045715332,-8.280017852783203,12
460,119.02,39.388916015625,-8.280024528503418,12
461,119.22,39.3889274597168,-8.280030250549316,12
462,119.42,39.388938903808594,-8.280041694641113,12
463,120.02,39.38896560668945,-8.280072212219238,12
464,120.22,39.38896560668945,-8.280072212219238,12
465,120.42,39.38896560668945,-8.28007698059082,12
466,120.82,39.388973236083984,-8.280089378356934,12
467,121.02,39.388980865478516,-8.2800931930542,12
468,121.22,39.38899612426758,-8.28010082244873,12
469,121.42,39.38899230957031,-8.280097961425781,12
470,121.62,39.38899230957031,-8.280097961425781,12
471,121.92,39.38899612426758,-8.280101776123047,12
472,122.12,39.38899612426758,-8.280101776123047,12
